Team	Date	Event	City	State	Weekend
Fire16U	07/15/22	North American All Sanctioned World Series	 Hermitage	 PA	07/15 - 07/17
Fire16U	07/22/22	Hope's Turn At Bat	 Hermitage	 PA	07/22 - 07/24
Fire16U	06/04/22	Maple Leaf East 	 Streetsboro	 OH	06/03 - 06/05
Fire16U	06/17/22	Ohio Father's Day Classic 	 New Middletown	 OH	06/17 - 06/19
Fire16U	06/24/22	Battle Of Lake Erie	 Erie	PA	06/24 - 06/26
Fire16U	05/27/22	Salute To Service 	 Kent	OH	05/27 - 05/29
Fire18U	06/04/22	Mapleleaf East Streetsboro	 Streetsboro	 OH	06/03 - 06/05
Fire18U	05/28/22	Salute To Service	Kent	 OH	05/27 - 05/29
Fire2007	08/31/22	Father's Day Blast	Canfield	 OH	12/30 - 12/30
Fire2007	07/01/22	Apple Pie Charity	Gnadenhutten	 OH	07/01 - 07/03
Fire2007	07/08/22	Battle In The Burg	 Leavittsburg	 OH	07/08 - 07/10
Fire2007	07/16/22	Showdown At J-Town	 Jefferson	 OH	07/15 - 07/17
Fire2007	07/21/22	World Series 14u	 Columbus	 OH	07/21 - 07/24
Fire2007	06/03/22	Tallmadge T-Town Showdown	 Tallmadge	 OH	06/03 - 06/05
Fire2007	06/09/22	Battle At Barlow	 Hudson	 OH	06/09 - 06/12
Fire2007	06/17/22	Father's Day Blast	 Canfield	OH	06/17 - 06/19
Fire2007	05/07/22	Racers Fastpitch Early Bird Tournament	 Rootstown	 OH	05/06 - 05/08
Fire2007	05/28/22	5th Annual Memorial Classic	North Ridgeville	 OH	05/27 - 05/29
Fire2007	10/23/21	Pumpkin Smash	 Leavittsburg	 OH	10/22 - 10/24
Fire2008	04/30/22	11th Annual Streak	 New Middletown	 OH	04/29 - 05/01
Fire2008	07/08/22	Battle in Leavittsburg	 Leavittsburg	 OH	07/08 - 07/10
Fire2008	07/15/22	J-Town Showdown	 Jefferson	 OH	07/15 - 07/17
Fire2008	07/21/22	World Series	 Columbus	 OH	07/21 - 07/24
Fire2008	06/16/22	9th Annual Swingin In Solon	 Solon	 OH	06/16 - 06/19
Fire2008	06/24/22	Battle of Lake Erie	 Fairview	PA	06/24 - 06/26
Fire2008	05/07/22	May Madness	 New Middletown	 OH	05/06 - 05/08
Fire2008	10/23/21	FIRE FASTPITCH PUMPKIN SMASH	 Leavittsburg	 OH	10/22 - 10/24
Fire2009	04/02/22	Hall Of Fame Indoor Tournament	 Canton	 OH	04/01 - 04/03
Fire2009	04/22/22	Ytown Mayhem	 Hubbard	 OH	04/22 - 04/24
Fire2009	04/30/22	11th Annual Streak	 New Middletown	 OH	04/29 - 05/01
Fire2009	06/04/22	Perfect Storm	 Hubbard	 OH	06/03 - 06/05
Fire2009	06/10/22	June Slugfest	 New Middletown	 OH	06/10 - 06/12
Fire2009	06/25/22	Steel Valley Storm	 Canfield	 OH	06/24 - 06/26
Fire2009	05/13/22	Choose Joy	 Canfield	 OH	05/13 - 05/15
Fire2009	05/21/22	Border Wars	 Rootstown	OH	05/20 - 05/22
Fire2010	07/02/22	Stars Stripes And Softball Tournament	 Hubbard	 OH	07/01 - 07/03
Fire2010	06/03/22	Valley Extreme Summer Starter	 Warren	 OH	06/03 - 06/05
Fire2010	06/10/22	Sluggers June Slugfest	 New Middletown	 OH	06/10 - 06/12
Fire2010	06/17/22	Ohio Magic Father's Day Classic	 Youngstown	 OH	06/17 - 06/19
Fire2010	03/19/22	Shamrock Classic 12U Tournament	 Mt Vernon	OH	03/18 - 03/20
Fire2010	05/07/22	Racers Early Bird Tournament	 Hermitage	PA	05/06 - 05/08
Fire2010	05/13/22	Choose Joy/ The Melina Michelle Edenfield Tournament	 Canfield	 OH	05/13 - 05/15
Fire2010	05/21/22	Spring Swing	 Lyndhurst	 OH	05/20 - 05/22
Fire2010	05/28/22	Memorial DAY Madness	 New Franklin	 OH	05/27 - 05/29
Fire2011	04/23/22	Thunder Elite Mayhem Tournament - Youngstown Area	 Girard	 OH	04/22 - 04/24
Fire2011	04/30/22	Streak Event	 New Middletown	 OH	04/29 - 05/01
Fire2011	07/09/22	Cinderella  Classic	 North Ridgeville	 OH	07/08 - 07/10
Fire2011	07/23/22	Christmas in July Tournament	 North Ridgeville	 OH	07/22 - 07/24
Fire2011	07/28/22	World Series Showdown in Columbus	 Columbus	 OH	07/28 - 07/31
Fire2011	06/04/22	Maple Leaf East	 Streetsboro	 OH	06/03 - 06/05
Fire2011	06/10/22	June Slugfest	 New Middletown	 OH	06/10 - 06/12
Fire2011	06/17/22	Ohio Magic Father's Day Classic	 Youngstown	 OH	06/17 - 06/19
Fire2011	05/14/22	May Mayhem 	 Streetsboro	 OH	05/13 - 05/15
Fire2011	05/28/22	Stan Maley Memorial	 Canfield	OH	05/27 - 05/29
Fire2012	04/16/22	Robert Lee Memorial	 Youngstown	 OH	04/15 - 04/17
Fire2012	07/09/22	Cinderella Classic	 North Ridgeville	 OH	07/08 - 07/10
Fire2012	07/22/22	Hope’s Turn At Bat	 Hermitage	 PA	07/22 - 07/24
Fire2012	06/04/22	Mapleleaf Classic	 Streetsboro	 OH	06/03 - 06/05
