Team,Event Name,Event Type,Date,Weekend start,
FIRE FASTPITCH 2007 - 14U,Fall Ball League,TOURNAMENT,10/17/21,10/15/21,10/15
FIRE FASTPITCH 2007 - 14U,Pumpkin Smash,TOURNAMENT,10/23/21,10/22/21,
FIRE FASTPITCH 2012 - 10U,Shamrock Classic,TOURNAMENT,03/19/22,03/18/22,
FIRE FASTPITCH 2009 - 12U,Hall Of Fame Indoor Tournament,TOURNAMENT,04/02/22,04/01/22,
FIRE FASTPITCH 2009 - 12U,Hall Of Fame Indoor Tournament,TOURNAMENT,04/03/22,04/01/22,
FIRE FASTPITCH 2009 - 12U,Ytown Mayhem,TOURNAMENT,04/22/22,04/22/22,
FIRE FASTPITCH 2012 - 10U,Racers Early Bird Tournament,TOURNAMENT,05/07/22,05/06/22,
FIRE FASTPITCH 2007 - 14U,Racers Fastpitch Early Bird Tournament,TOURNAMENT,05/07/22,05/06/22,
FIRE FASTPITCH 2012 - 10U,Racers Early Bird Tournament,TOURNAMENT,05/08/22,05/06/22,
FIRE FASTPITCH 2007 - 14U,Racers Fastpitch Early Bird Tournament,TOURNAMENT,05/08/22,05/06/22,
FIRE FASTPITCH 2012 - 10U,Choose Joy Tounrament,TOURNAMENT,05/13/22,05/13/22,
FIRE FASTPITCH 2012 - 10U,Choose Joy Tounrament,TOURNAMENT,05/15/22,05/13/22,
FIRE FASTPITCH 2012 - 10U,Ohio Spring Fever,TOURNAMENT,05/20/22,05/20/22,
FIRE FASTPITCH 2012 - 10U,Ohio Spring Fever,TOURNAMENT,05/21/22,05/20/22,
FIRE FASTPITCH 2012 - 10U,Ohio Spring Fever,TOURNAMENT,05/22/22,05/20/22,
FIRE FASTPITCH 2007 - 14U,5th Annual Memorial Classic,TOURNAMENT,05/27/22,05/27/22,
FIRE FASTPITCH 2007 - 14U,5th Annual Memorial Classic,TOURNAMENT,05/28/22,05/27/22,
FIRE FASTPITCH 2007 - 14U,5th Annual Memorial Classic,TOURNAMENT,05/29/22,05/27/22,
FIRE FASTPITCH 2007 - 14U,Tallmadge T-Town Showdown,TOURNAMENT,06/03/22,06/03/22,
FIRE FASTPITCH 2012 - 10U,Mapleleaf Classic,TOURNAMENT,06/04/22,06/03/22,
FIRE FASTPITCH 2007 - 14U,Tallmadge T-Town Showdown,TOURNAMENT,06/04/22,06/03/22,
FIRE FASTPITCH 2012 - 10U,Mapleleaf Classic,TOURNAMENT,06/05/22,06/03/22,
FIRE FASTPITCH 2007 - 14U,Tallmadge T-Town Showdown,TOURNAMENT,06/05/22,06/03/22,
FIRE FASTPITCH 2007 - 14U,Battle At Barlow,TOURNAMENT,06/10/22,06/10/22,
FIRE FASTPITCH 2007 - 14U,Battle At Barlow,TOURNAMENT,06/11/22,06/10/22,
FIRE FASTPITCH 2007 - 14U,Battle At Barlow,TOURNAMENT,06/12/22,06/10/22,
FIRE FASTPITCH 2012 - 10U,Father’s Day Win Some Bling Tournament,TOURNAMENT,06/17/22,06/17/22,
FIRE FASTPITCH 2007 - 14U,Father's Day Blast,TOURNAMENT,06/17/22,06/17/22,
FIRE FASTPITCH 2007 - 14U,Father's Day Blast,TOURNAMENT,06/17/22,06/17/22,
FIRE FASTPITCH 2012 - 10U,Father’s Day Win Some Bling Tournament,TOURNAMENT,06/18/22,06/17/22,
FIRE FASTPITCH 2007 - 14U,Father's Day Blast,TOURNAMENT,06/18/22,06/17/22,
FIRE FASTPITCH 2012 - 10U,Father’s Day Win Some Bling Tournament,TOURNAMENT,06/19/22,06/17/22,
FIRE FASTPITCH 2007 - 14U,Father's Day Blast,TOURNAMENT,06/19/22,06/17/22,
FIRE FASTPITCH 2007 - 14U,Apple Pie Charity,TOURNAMENT,07/01/22,07/01/22,
FIRE FASTPITCH 2007 - 14U,Apple Pie Charity,TOURNAMENT,07/02/22,07/01/22,
FIRE FASTPITCH 2007 - 14U,Apple Pie Charity,TOURNAMENT,07/03/22,07/01/22,
FIRE FASTPITCH 2007 - 14U,Battle In The Burg,TOURNAMENT,07/08/22,07/08/22,
FIRE FASTPITCH 2012 - 10U,Cinderella Classic,TOURNAMENT,07/09/22,07/08/22,
FIRE FASTPITCH 2007 - 14U,Battle In The Burg,TOURNAMENT,07/09/22,07/08/22,
FIRE FASTPITCH 2012 - 10U,Cinderella Classic,TOURNAMENT,07/10/22,07/08/22,
FIRE FASTPITCH 2007 - 14U,Battle In The Burg,TOURNAMENT,07/10/22,07/08/22,
FIRE FASTPITCH 2007 - 14U,Showdown At J-Town,TOURNAMENT,07/16/22,07/15/22,
FIRE FASTPITCH 2007 - 14U,Showdown At J-Town,TOURNAMENT,07/17/22,07/15/22,
FIRE FASTPITCH 2007 - 14U,World Series 14u,TOURNAMENT,07/21/22,12/30/99,
FIRE FASTPITCH 2012 - 10U,Hope’s Turn At Bat,TOURNAMENT,07/22/22,07/22/22,
FIRE FASTPITCH 2007 - 14U,World Series 14u,TOURNAMENT,07/22/22,07/22/22,
FIRE FASTPITCH 2012 - 10U,Hope’s Turn At Bat,TOURNAMENT,07/23/22,07/22/22,
FIRE FASTPITCH 2007 - 14U,World Series 14u,TOURNAMENT,07/23/22,07/22/22,
FIRE FASTPITCH 2012 - 10U,Hope’s Turn At Bat,TOURNAMENT,07/24/22,07/22/22,
FIRE FASTPITCH 2007 - 14U,World Series 14u,TOURNAMENT,07/24/22,07/22/22,
