Team	Event Name	Date	Friday	Friday-text	Sunday	Sunday-text	Weekend	City	State	
2006 - 16U	Maple Leaf East	06/03/22	06/03/22	06/03	06/05/22	06/05	06/03 - 06/05	Streetsboro	 OH	Streetsboro,  OH
2006 - 16U	Salute To Service	05/27/22	05/27/22	05/27	05/29/22	05/29	05/27 - 05/29		 OH	,  OH
2007 - 14U	5th Annual Memorial Classic	05/27/22	05/27/22	05/27	05/29/22	05/29	05/27 - 05/29	 North Ridgeville	 OH	 North Ridgeville,  OH
2007 - 14U	5th Annual Memorial Classic	05/28/22	05/27/22	05/27	05/29/22	05/29	05/27 - 05/29	 North Ridgeville	 OH	 North Ridgeville,  OH
2007 - 14U	5th Annual Memorial Classic	05/29/22	05/27/22	05/27	05/29/22	05/29	05/27 - 05/29	 North Ridgeville	 OH	 North Ridgeville,  OH
2007 - 14U	Racers Early Bird Tournament	05/07/22	05/06/22	05/06	05/08/22	05/08	05/06 - 05/08	 Rootstown	 OH	 Rootstown,  OH
2007 - 14U	Racers Early Bird Tournament	05/08/22	05/06/22	05/06	05/08/22	05/08	05/06 - 05/08	 Rootstown	 OH	 Rootstown,  OH
2007 - 14U	Tallmadge T-Town Showdown	06/03/22	06/03/22	06/03	06/05/22	06/05	06/03 - 06/05	Tallmadge	 OH	Tallmadge,  OH
2007 - 14U	Tallmadge T-Town Showdown	06/04/22	06/03/22	06/03	06/05/22	06/05	06/03 - 06/05	Tallmadge	 OH	Tallmadge,  OH
2009 - 12U	Border Wars	05/21/22	05/20/22	05/20	05/22/22	05/22	05/20 - 05/22	 Canfield	 OH	 Canfield,  OH
2009 - 12U	Border Wars	05/22/22	05/20/22	05/20	05/22/22	05/22	05/20 - 05/22	 Canfield	 OH	 Canfield,  OH
2009 - 12U	Choose Joy	05/13/22	05/13/22	05/13	05/15/22	05/15	05/13 - 05/15	 Canfield	 OH	 Canfield,  OH
2009 - 12U	Choose Joy	05/14/22	05/13/22	05/13	05/15/22	05/15	05/13 - 05/15	 Canfield	 OH	 Canfield,  OH
2009 - 12U	Choose Joy	05/15/22	05/13/22	05/13	05/15/22	05/15	05/13 - 05/15	 Canfield	 OH	 Canfield,  OH
2009 - 12U	Hall Of Fame Indoor Tournament	04/02/22	04/01/22	04/01	04/03/22	04/03	04/01 - 04/03	 Canton	 OH	 Canton,  OH
2009 - 12U	Hall Of Fame Indoor Tournament	04/03/22	04/01/22	04/01	04/03/22	04/03	04/01 - 04/03	 Canton	 OH	 Canton,  OH
2009 - 12U	Perfect Storm	06/03/22	06/03/22	06/03	06/05/22	06/05	06/03 - 06/05	 Hubbard	 OH	 Hubbard,  OH
2009 - 12U	Perfect Storm	06/04/22	06/03/22	06/03	06/05/22	06/05	06/03 - 06/05	 Hubbard	 OH	 Hubbard,  OH
2009 - 12U	Perfect Storm	06/05/22	06/03/22	06/03	06/05/22	06/05	06/03 - 06/05	 Hubbard	 OH	 Hubbard,  OH
2009 - 12U	Streak Event	04/30/22	04/29/22	04/29	05/01/22	05/01	04/29 - 05/01	 New Middletown	 OH	 New Middletown,  OH
2009 - 12U	Streak Event	05/01/22	04/29/22	04/29	05/01/22	05/01	04/29 - 05/01	 New Middletown	 OH	 New Middletown,  OH
2009 - 12U	Ytown Mayhem	04/22/22	04/22/22	04/22	04/24/22	04/24	04/22 - 04/24	 Hubbard	 OH	 Hubbard,  OH
2009 - 12U	Ytown Mayhem	04/23/22	04/22/22	04/22	04/24/22	04/24	04/22 - 04/24	 Hubbard	 OH	 Hubbard,  OH
2009 - 12U	Ytown Mayhem	04/24/22	04/22/22	04/22	04/24/22	04/24	04/22 - 04/24	 Hubbard	 OH	 Hubbard,  OH
2010 - 12U	Choose Joy	05/13/22	05/13/22	05/13	05/15/22	05/15	05/13 - 05/15	 Canfield	 OH	 Canfield,  OH
2010 - 12U	Choose Joy	05/14/22	05/13/22	05/13	05/15/22	05/15	05/13 - 05/15	 Canfield	 OH	 Canfield,  OH
2010 - 12U	Choose Joy	05/15/22	05/13/22	05/13	05/15/22	05/15	05/13 - 05/15	 Canfield	 OH	 Canfield,  OH
2010 - 12U	Maple Leaf East Tournament	06/04/22	06/03/22	06/03	06/05/22	06/05	06/03 - 06/05	Streetsboro	 OH	Streetsboro,  OH
2010 - 12U	Maple Leaf East Tournament	06/05/22	06/03/22	06/03	06/05/22	06/05	06/03 - 06/05	Streetsboro	 OH	Streetsboro,  OH
2010 - 12U	Memorial DAY Madness	05/28/22	05/27/22	05/27	05/29/22	05/29	05/27 - 05/29		 OH	,  OH
2010 - 12U	Memorial DAY Madness	05/29/22	05/27/22	05/27	05/29/22	05/29	05/27 - 05/29	North Ridgeville	 OH	North Ridgeville,  OH
2010 - 12U	Racers Early Bird Tournament	05/07/22	05/06/22	05/06	05/08/22	05/08	05/06 - 05/08	 Rootstown	 OH	 Rootstown,  OH
2010 - 12U	Racers Early Bird Tournament	05/08/22	05/06/22	05/06	05/08/22	05/08	05/06 - 05/08	 Rootstown	 OH	 Rootstown,  OH
2010 - 12U	Spring Swing	05/20/22	05/20/22	05/20	05/22/22	05/22	05/20 - 05/22	Lyndhurst	 OH	Lyndhurst,  OH
2010 - 12U	Spring Swing	05/21/22	05/20/22	05/20	05/22/22	05/22	05/20 - 05/22	Lyndhurst	 OH	Lyndhurst,  OH
2010 - 12U	Spring Swing	05/22/22	05/20/22	05/20	05/22/22	05/22	05/20 - 05/22	Lyndhurst	 OH	Lyndhurst,  OH
2011 - 10U	Maple Leaf East - Streetsboro/Rootstown Area	06/03/22	06/03/22	06/03	06/05/22	06/05	06/03 - 06/05	Streetsboro	 OH	Streetsboro,  OH
2011 - 10U	Maple Leaf East - Streetsboro/Rootstown Area	06/04/22	06/03/22	06/03	06/05/22	06/05	06/03 - 06/05	Streetsboro	 OH	Streetsboro,  OH
2011 - 10U	May Mayhem	05/13/22	05/13/22	05/13	05/15/22	05/15	05/13 - 05/15	 Canfield	 OH	 Canfield,  OH
2011 - 10U	May Mayhem	05/14/22	05/13/22	05/13	05/15/22	05/15	05/13 - 05/15	Streetsboro	 OH	Streetsboro,  OH
2011 - 10U	May Mayhem	05/15/22	05/13/22	05/13	05/15/22	05/15	05/13 - 05/15	Streetsboro	 OH	Streetsboro,  OH
