"Team","Event","Date","Friday","Friday-text","Sunday","Sunday-Text","Weekend","City","State"
"Fire18U","Canfield Pumpkin Smash","10/08/22","10/07/22","10/07","10/09/22","10/09","10/07 - 10/09"," Canfield"," OH"
"Fire18U","Halloween Havoc","10/29/22","10/28/22","10/28","10/30/22","10/30","10/28 - 10/30"," North Ridgeville"," OH"
"Fire2008","FALL BALL  – TOURNAMENT","10/16/22","10/14/22","10/14","10/16/22","10/16","10/14 - 10/16",,
"Fire2008","FIRE FASTPITCH PUMPKIN SMASH","10/22/22","10/21/22","10/21","10/23/22","10/23","10/21 - 10/23"," Leavittsburg"," OH"
"Fire2008","Valley Extreme Haunted Trail Classic","10/01/22","09/30/22","09/30","10/02/22","10/02","09/30 - 10/02"," Warren"," OH"
"Fire2010","Choose Joy Tournament","05/12/23","05/12/23","05/12","05/15/22","05/15","05/12 - 05/15",,
"Fire2010","May Madness Tournament","05/05/23","05/05/23","05/05","05/08/22","05/08","05/05 - 05/08"," New Middletown"," OH"
"Fire2010","Memorial Day Madness","05/27/23","05/26/23","05/26","05/29/22","05/29","05/26 - 05/29",,
"Fire2010","Ohio Magic Father's Day Classic","06/16/23","06/16/23","06/16","06/19/22","06/19","06/16 - 06/19"," Youngstown"," OH"
"Fire2010","Reach for the Starzz-Willoughby","06/23/23","06/23/23","06/23","06/26/22","06/26","06/23 - 06/26",,
"Fire2010","Sluggers June Slugfest","06/09/23","06/09/23","06/09","06/12/22","06/12","06/09 - 06/12",,
"Fire2010","Spring Swing Lyndhurst Ohio","05/20/23","05/19/23","05/19","05/22/22","05/22","05/19 - 05/22",,
"Fire2011","Halloween Friendlies","10/15/22","10/14/22","10/14","10/16/22","10/16","10/14 - 10/16"," Leavittsburg"," OH"
"Fire2012","Haunted Trail Classic","09/30/22","09/30/22","09/30","10/02/22","10/02","09/30 - 10/02"," Warren"," OH"
"Fire2012","Ohio Magic Father’s Day Classic","06/16/23","06/16/23","06/16","06/19/22","06/19","06/16 - 06/19"," Youngstown"," OH"
"Fire16U","VS. Roc Elite","10/16/22","10/14/22","10/14","10/16/22","10/16","10/14 - 10/16"," Youngstown"," OH"
"Fire2007","Pumpkin Smash","10/16/22","10/14/22","10/14","10/16/22","10/16","10/14 - 10/16"," Leavittsburg"," OH"
"Fire2012","Honor Our Veterans Classic","11/12/22","11/11/22","11/11","11/13/22","11/13","11/11 - 11/13",,
